データ日付,終値,始値,高値,安値
"2020/08/03","22195.38","21947.58","22214.59","21919.83"
"2020/08/04","22573.66","22379.74","22603.82","22379.74"
"2020/08/05","22514.85","22479.72","22554.20","22356.25"
"2020/08/06","22418.15","22471.71","22587.75","22362.89"
"2020/08/07","22329.94","22433.78","22436.16","22204.61"
"2020/08/11","22750.24","22505.51","22760.87","22497.07"
"2020/08/12","22843.96","22747.44","22874.37","22670.74"
"2020/08/13","23249.61","23123.36","23316.69","23111.50"
"2020/08/14","23289.36","23323.92","23338.79","23222.85"
"2020/08/17","23096.75","23189.48","23248.75","23068.53"
"2020/08/18","23051.08","23097.80","23128.18","22948.89"
"2020/08/19","23110.61","22997.93","23149.85","22953.60"
"2020/08/20","22880.62","23003.58","23078.36","22851.83"
"2020/08/21","22920.30","23022.76","23135.43","22920.30"
"2020/08/24","22985.51","22913.20","23012.71","22862.54"
"2020/08/25","23296.77","23242.74","23431.04","23225.39"
"2020/08/26","23290.86","23257.05","23348.80","23203.00"
"2020/08/27","23208.86","23311.04","23323.07","23177.85"
"2020/08/28","22882.65","23232.30","23376.13","22594.79"
"2020/08/31","23139.76","23147.14","23342.32","23102.61"
"2020/09/01","23138.07","23089.63","23206.66","23047.77"
"2020/09/02","23247.15","23261.09","23287.40","23170.82"
"2020/09/03","23465.53","23524.49","23580.51","23426.11"
"2020/09/04","23205.43","23130.32","23257.69","23098.77"
"2020/09/07","23089.95","23145.47","23218.22","23086.89"
"2020/09/08","23274.13","23188.79","23277.66","23129.66"
"2020/09/09","23032.54","22966.89","23059.02","22878.71"
"2020/09/10","23235.47","23193.47","23250.31","23134.02"
"2020/09/11","23406.49","23114.63","23412.93","23114.63"
"2020/09/14","23559.30","23431.16","23582.21","23429.42"
"2020/09/15","23454.89","23438.83","23477.86","23351.35"
"2020/09/16","23475.53","23425.23","23506.45","23397.43"
"2020/09/17","23319.37","23416.62","23446.39","23272.23"
"2020/09/18","23360.30","23321.19","23398.46","23290.19"
"2020/09/23","23346.49","23245.89","23370.13","23154.45"
"2020/09/24","23087.82","23215.00","23234.72","23039.48"
"2020/09/25","23204.62","23217.33","23272.67","23154.66"
"2020/09/28","23511.62","23391.96","23516.04","23303.03"
"2020/09/29","23539.10","23410.50","23622.74","23347.64"
"2020/09/30","23185.12","23478.85","23522.38","23170.89"
"2020/10/01","23185.12","23185.12","23185.12","23185.12"
"2020/10/02","23029.90","23294.80","23365.58","22951.41"
"2020/10/05","23312.14","23254.28","23377.43","23252.69"
"2020/10/06","23433.73","23420.07","23441.16","23331.40"
"2020/10/07","23422.82","23272.45","23432.73","23272.45"
"2020/10/08","23647.07","23506.34","23701.77","23477.73"
"2020/10/09","23619.69","23713.86","23725.58","23552.73"
"2020/10/12","23558.69","23588.74","23597.91","23501.26"
"2020/10/13","23601.78","23667.90","23667.90","23490.95"
"2020/10/14","23626.73","23545.66","23656.70","23518.81"
"2020/10/15","23507.23","23548.45","23581.16","23458.43"
"2020/10/16","23410.63","23478.40","23538.74","23382.67"
"2020/10/19","23671.13","23543.69","23707.16","23543.69"
"2020/10/20","23567.04","23587.87","23674.87","23518.29"
"2020/10/21","23639.46","23615.52","23702.30","23611.33"
"2020/10/22","23474.27","23525.59","23555.78","23436.17"
"2020/10/23","23516.59","23558.71","23587.90","23469.13"
"2020/10/26","23494.34","23520.78","23572.60","23475.52"
"2020/10/27","23485.80","23376.96","23485.80","23232.31"
"2020/10/28","23418.51","23372.61","23451.03","23334.23"
"2020/10/29","23331.94","23170.76","23374.10","23170.76"
"2020/10/30","22977.13","23320.71","23320.71","22948.47"
"2020/11/02","23295.48","23110.74","23370.91","23096.79"
"2020/11/04","23695.23","23619.58","23801.88","23505.78"
"2020/11/05","24105.28","23776.20","24112.42","23756.78"
"2020/11/06","24325.23","24076.22","24389.00","24039.16"
"2020/11/09","24839.84","24568.84","24962.80","24541.28"
"2020/11/10","24905.59","25087.30","25279.94","24833.18"
"2020/11/11","25349.60","25145.66","25401.30","25145.66"
"2020/11/12","25520.88","25439.35","25587.96","25316.60"
"2020/11/13","25385.87","25405.64","25456.18","25215.31"
"2020/11/16","25906.93","25652.69","25928.18","25640.29"
"2020/11/17","26014.62","26043.45","26057.30","25851.54"
"2020/11/18","25728.14","25860.55","25882.14","25656.70"
"2020/11/19","25634.34","25628.73","25650.86","25474.94"
"2020/11/20","25527.37","25486.83","25555.37","25425.59"
"2020/11/24","26165.59","25901.45","26261.78","25901.45"
"2020/11/25","26296.86","26468.52","26706.42","26258.35"
"2020/11/26","26537.31","26255.47","26560.03","26255.47"
"2020/11/27","26644.71","26530.28","26672.40","26419.05"
"2020/11/30","26433.62","26830.10","26834.20","26405.83"
"2020/12/01","26787.54","26624.20","26852.16","26618.39"
"2020/12/02","26800.98","26884.99","26889.90","26695.28"
"2020/12/03","26809.37","26740.30","26868.09","26719.23"
"2020/12/04","26751.24","26697.26","26799.83","26646.08"
"2020/12/07","26547.44","26894.25","26894.25","26500.32"
"2020/12/08","26467.08","26380.32","26523.30","26327.08"
"2020/12/09","26817.94","26526.34","26826.78","26520.60"
"2020/12/10","26756.24","26688.50","26852.77","26639.98"
"2020/12/11","26652.52","26732.85","26819.41","26553.01"
"2020/12/14","26732.44","26659.53","26870.47","26648.69"
"2020/12/15","26687.84","26683.11","26736.84","26605.54"
"2020/12/16","26757.40","26835.59","26874.98","26717.03"
"2020/12/17","26806.67","26744.50","26843.05","26676.28"
"2020/12/18","26763.39","26775.53","26824.29","26707.30"
"2020/12/21","26714.42","26834.10","26905.67","26533.63"
"2020/12/22","26436.39","26559.33","26639.99","26361.66"
"2020/12/23","26524.79","26580.43","26585.21","26414.74"
"2020/12/24","26668.35","26635.11","26764.53","26605.26"
"2020/12/25","26656.61","26708.10","26716.61","26638.28"
"2020/12/28","26854.03","26691.29","26854.03","26664.60"
"2020/12/29","27568.15","26936.38","27602.52","26921.14"
"2020/12/30","27444.17","27559.10","27572.57","27338.56"
"2021/01/04","27258.38","27575.57","27602.11","27042.32"
"2021/01/05","27158.63","27151.38","27279.78","27073.46"
"2021/01/06","27055.94","27102.85","27196.40","27002.18"
"2021/01/07","27490.13","27340.46","27624.73","27340.46"
"2021/01/08","28139.03","27720.14","28139.03","27667.75"
"2021/01/12","28164.34","28004.37","28287.37","27899.45"
"2021/01/13","28456.59","28140.10","28503.43","28133.59"
"2021/01/14","28698.26","28442.73","28979.53","28411.58"
"2021/01/15","28519.18","28777.47","28820.50","28477.03"
"2021/01/18","28242.21","28238.68","28349.97","28111.54"
"2021/01/19","28633.46","28405.49","28720.91","28373.34"
"2021/01/20","28523.26","28798.74","28801.19","28402.11"
"2021/01/21","28756.86","28710.41","28846.15","28677.61"
"2021/01/22","28631.45","28580.20","28698.18","28527.16"
"2021/01/25","28822.29","28698.89","28822.29","28566.85"
"2021/01/26","28546.18","28696.30","28740.71","28527.81"
"2021/01/27","28635.21","28665.34","28754.99","28542.00"
"2021/01/28","28197.42","28169.27","28360.48","27975.85"
"2021/01/29","27663.39","28320.72","28320.72","27629.80"
"2021/02/01","28091.05","27649.07","28107.10","27649.07"
"2021/02/02","28362.17","28207.48","28379.31","28089.12"
"2021/02/03","28646.50","28482.71","28669.95","28402.30"
"2021/02/04","28341.95","28557.46","28600.22","28325.89"
"2021/02/05","28779.19","28631.46","28785.71","28548.27"
"2021/02/08","29388.50","28831.58","29400.56","28817.60"
"2021/02/09","29505.93","29435.61","29585.75","29350.48"
"2021/02/10","29562.93","29412.55","29562.93","29368.18"
